,Artist_Name,Track_Name,Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,time_signature,Genre,duration_in_min
1184,Dustin Tebbutt,Love Is Blind,34.0,0.571,0.477,-12.319,1,0.0392,0.6,0.111,0.466,77.954,4.0,0.0,3.88453333
1185,The Smashing Pumpkins,Farewell And Goodnight - Remastered 2012,43.0,0.648,0.295,-15.026,1,0.0292,0.811,0.0806,0.175,140.062,4.0,10.0,4.404
1186,U2,Red Hill Mining Town - Remastered 2007,43.0,0.337,0.657,-9.316,1,0.033,0.161,0.257,0.415,69.129,4.0,10.0,4.881116666666666
1187,American Authors,Luck,53.0,0.554,0.806,-3.463,1,0.046,0.00177,0.165,0.646,144.923,4.0,10.0,3.6782166666666667
1188,Kali,Do A Bitch (Remix) [feat. Rico Nasty],64.0,0.874,0.531,-8.425,1,0.34,0.0252,0.305,0.514,111.999,4.0,5.0,3.31585
1189,boy-ish,time again,23.0,0.875,0.408,-10.056,1,0.247,0.841,0.0579,0.472,131.972,4.0,6.0,2.5138
1190,Jason Aldean,Amarillo Sky,60.0,0.491,0.776,-3.887,1,0.0393,0.314,0.146,0.428,154.988,4.0,4.0,3.375783333
1191,fanclubwallet,Bike Song,31.0,0.821,0.695,-5.841,1,0.042,0.0402,0.0599,0.903,107.006,4.0,6.0,2.4111166666666666
1192,Biddu,Baat Ban Jaye - Qurbani / Soundtrack Version,26.0,0.689,0.617,-10.666,1,0.0314,0.645,0.0546,0.978,108.811,4.0,3.0,3.25645
1193,Jme,96 Bars of Revenge,42.0,0.566,0.907,-8.277,1,0.522,0.0546,0.119,0.56,93.164,5.0,5.0,3.736883333333333
1194,The Smashing Pumpkins,Landslide,59.0,0.422,0.208,-15.886,1,0.0318,0.896,0.192,0.354,111.549,3.0,10.0,3.17645
1195,Neumatic Parlo,Real Insight,21.0,0.397,0.835,-8.619,1,0.0383,1.32e-05,0.21,0.389,147.017,4.0,10.0,3.38255
1196,Nick Lowe,Cruel To Be Kind,57.0,0.694,0.656,-10.598,1,0.026,0.0586,0.0505,0.803,131.679,4.0,10.0,3.5021833333333334
1197,Fantastic Negrito,Chocolate Samurai,46.0,0.739,0.669,-8.79,1,0.0386,0.0274,0.123,0.547,128.26,4.0,10.0,4.93065
1198,Alessia Cara,Sweet Dream,71.0,0.76,0.532,-9.177,1,0.127,0.252,0.252,0.5,123.064,4.0,9.0,3.03136667
1199,Northlane,Clockwork,60.0,0.48,0.97,-5.006,0,0.0595,3.72e-05,0.29,0.346,136.123,4.0,8.0,3.9728833333333333
1200,Mahendra Kapoor,Jai Janani Jai Bharat Maa,1.0,0.571,0.585,-8.611,1,0.123,0.974,0.113,0.825,82.565,3.0,3.0,3.34
1201,"Pritam, Arijit Singh, Antara Mitra, Nikhil D'Souza",Dil Hi Toh Hai,55.0,0.482,0.694,-5.368,1,0.042,0.452,0.11,0.573,90.196,4.0,3.0,4.674933333
1202,Mohammed Rafi,Chahoonga Main Tujhe,25.0,0.352,0.331,-12.489,1,0.0489,0.994,0.245,0.255,77.039,4.0,3.0,4.908216667
1203,Icewear Vezzo,Up The Sco (feat. Lil Durk),58.0,0.828,0.663,-6.158,0,0.357,0.172,0.206,0.691,78.477,4.0,5.0,2.7520166666666666
1204,Dayglow,Woah Man,73.0,0.497,0.675,-7.442,1,0.0332,0.0035,0.219,0.338,79.965,4.0,6.0,3.47645
1205,Tame Impala,Remember Me,52.0,0.631,0.851,-5.871,1,0.04,0.392,0.57,0.469,107.008,4.0,10.0,4.350666666666666
1206,The Isley Brothers,That Lady - Live,22.0,0.465,0.903,-6.971,0,0.081,0.000515,0.853,0.787,142.687,4.0,10.0,3.6151166666666668
1207,Robert Plant,Big Log - 2006 Remaster,59.0,0.554,0.639,-7.163,0,0.0278,0.359,0.205,0.644,180.638,4.0,10.0,5.08
1208,Mos Def,Ms. Fat Booty,69.0,0.782,0.589,-4.827,1,0.189,0.148,0.164,0.869,90.438,4.0,5.0,3.7257833333333332
1209,Sonna,Something's Gotta Give,31.0,0.666,0.463,-7.806,0,0.086,0.413,0.232,0.497,84.903,4.0,5.0,2.3494166666666665
1210,Glen Hansard,Wedding Ring,41.0,0.481,0.385,-12.981,1,0.0458,0.62,0.114,0.363,148.504,3.0,0.0,4.78888333
1211,Hyro The Hero,Bullet,51.0,0.59,0.857,-3.982,0,0.0831,4.67e-05,0.284,0.652,110.027,4.0,8.0,2.89555
1212,Faith Hill,Cry,47.0,0.512,0.645,-5.631,1,0.029,0.141,0.0987,0.283,111.015,3.0,4.0,3.771783333
1213,R.E.M.,Losing My Religion,82.0,0.666,0.855,-5.051,0,0.0295,0.179,0.0987,0.803,125.639,4.0,10.0,4.4737833333333334
1214,Sorry,Starstruck - Single Version,53.0,0.608,0.759,-7.246,0,0.034,0.0569,0.169,0.861,124.504,4.0,1.0,3.4013333333333335
1215,WHOKILLEDXIX,spy?,77.0,0.87,0.565,-5.356,0,0.0581,0.0631,0.104,0.646,100.041,4.0,9.0,2.565366667
1216,The Orwells,Who Needs You,42.0,0.3,0.88,-4.573,1,0.0465,1.37e-05,0.0746,0.563,207.92,4.0,6.0,3.3191166666666665
1217,James Smith,I Don't Wanna Know,44.0,0.254,0.266,-8.603,1,0.0347,0.791,0.114,0.221,165.336,3.0,9.0,3.4825666666666666
1218,Mark Morton,All I Had To Lose (feat. Mark Morales),45.0,0.328,0.232,-16.28,0,0.0339,0.419,0.11,0.412,149.444,4.0,10.0,3.2616666666666667
1219,Audioslave,Cochise,67.0,0.452,0.873,-4.867,1,0.0613,0.000519,0.0592,0.433,80.473,4.0,10.0,3.70045
1220,Girlhood,It Might Take A Woman,49.0,0.59,0.864,-5.478,1,0.0327,0.000453,0.275,0.272,102.972,4.0,6.0,3.1826666666666665
1221,Sticky,Booo! (feat. Ms Dynamite) - Original Dirty Mix,46.0,0.6,0.77,-7.077,1,0.195,0.0004,0.0533,0.625,131.582,4.0,5.0,5.454883333333333
1222,Mr Eazi,The Don,55.0,0.637,0.457,-8.455,1,0.259,0.402,0.231,0.4,66.743,3.0,9.0,2.8149333333333333
1223,Processor,Royal Leash,47.0,0.6,0.833,-3.736,1,0.0402,3.68e-05,0.646,0.16,118.023,4.0,8.0,3.7288166666666664
1224,Glass Heart,Loved & Lost,10.0,0.499,0.905,-9.354,0,0.0585,0.000186,0.072,0.418,110.019,4.0,8.0,4.075
1225,Leah Nobel,Over the Moon,39.0,0.641,0.435,-9.88,1,0.0485,0.461,0.132,0.22,76.01,4.0,9.0,3.4813666666666667
1226,Flyleaf,All Around Me,53.0,0.472,0.88,-4.925,1,0.0519,0.0257,0.0506,0.5,146.929,4.0,10.0,3.3077833333333335
1227,Dan Mangan,Fool For Waiting,45.0,0.325,0.342,-8.86,1,0.0358,0.748,0.101,0.264,92.08,4.0,0.0,4.05333333
1228,Jammz,The World,14.0,0.856,0.336,-10.061,0,0.0777,0.0403,0.116,0.249,143.002,4.0,5.0,3.828333333333333
1229,Gary Moore,Cold Wind Blows,11.0,0.608,0.739,-10.582,0,0.0416,0.0102,0.202,0.268,97.884,4.0,2.0,5.49555
1230,Abbath,Winter Bane,39.0,0.471,0.959,-6.042,1,0.0545,1.02e-05,0.183,0.194,141.969,4.0,8.0,6.830666666666667
1231,Daniel Lee,Huckleberry,44.0,0.442,0.615,-7.909,1,0.0321,0.0557,0.182,0.44,84.944,4.0,10.0,3.8402
1232,Rush,What You're Doing,37.0,0.436,0.826,-9.457,0,0.0532,0.0305,0.128,0.56,99.106,4.0,10.0,4.36845
1233,Whitney Houston,Greatest Love of All - Live from That's What Friends Are For: Arista Records 15th Anniversary Concert,36.0,0.321,0.604,-6.718,1,0.0554,0.643,0.977,0.267,112.01,4.0,9.0,6.838
1234,Ali Gatie,Sunrise,55.0,0.684,0.495,-8.282,0,0.0297,0.223,0.154,0.19,99.991,4.0,9.0,3.0785
1235,Chelsea Cutler,Walking Away,69.0,0.551,0.381,-8.919,1,0.203,0.748,0.135,0.271,97.216,4.0,9.0,2.93953333
1236,The Animals,House of the Rising Sun,74.0,0.316,0.484,-9.11,0,0.0308,0.000334,0.0912,0.299,117.363,3.0,6.0,4.49845
1237,New Order,Blue Monday - 2016 Remaster,67.0,0.793,0.703,-9.548,1,0.0581,0.000726,0.075,0.856,130.27,4.0,6.0,7.513333333333334
1238,Blind Faith,Can't Find My Way Home,34.0,0.32,0.545,-14.043,1,0.0415,0.586,0.605,0.605,87.618,4.0,6.0,6.23155
1239,Hiatus Kaiyote,Get Sun (feat. Arthur Verocai) - Pocket Size Radio Edit,55.0,0.311,0.632,-6.852,1,0.0878,0.0206,0.0714,0.467,90.713,4.0,1.0,4.672916666666667
1240,BONES UK,Pretty Waste,51.0,0.66,0.835,-3.79,1,0.114,0.0001,0.247,0.544,94.014,4.0,10.0,2.841666666666667
1241,Eddie Burns,You Got To Love Me With A Feeling,5.0,0.49,0.485,-8.14,1,0.132,0.733,0.0867,0.523,185.73,3.0,2.0,5.600666666666666
1242,Sonny Boy Williamson I,Got The Bottle Up And Gone,35.0,0.612,0.117,-15.357,1,0.177,0.99,0.0788,0.781,172.444,4.0,2.0,2.554333333333333
1243,The Chemical Brothers,Block Rockin' Beats,4.0,0.558,0.982,-3.125,0,0.063,0.0221,0.117,0.684,109.372,4.0,6.0,5.227783333333333
1244,Apoorva Krishna,Valencia,13.0,0.61,0.712,-6.822,1,0.0408,0.135,0.175,0.349,99.975,5.0,6.0,4.91665
1245,CLOVES,Better Now - Acoustic,45.0,0.741,0.164,-12.18,0,0.0334,0.924,0.108,0.299,100.491,3.0,9.0,3.9091833333333335
1246,The Searchers,Needles and Pins - Mono,57.0,0.565,0.953,-6.504,1,0.0393,0.0546,0.0637,0.887,124.287,4.0,10.0,2.1893333333333334
1247,REINDIER,You Took It All,20.0,0.509,0.333,-12.622,0,0.0779,0.0835,0.133,0.243,111.002,4.0,9.0,3.0187833333333334
1248,Judas Priest,Lightning Strike,54.0,0.521,0.915,-5.705,0,0.0544,1.69e-05,0.065,0.336,112.507,3.0,8.0,3.490883333333333
1249,Sam Hunt,Break Up In A Small Town,68.0,0.579,0.776,-5.365,1,0.173,0.0749,0.239,0.434,136.044,4.0,4.0,3.831333333
1250,Daya,Montana,39.0,0.602,0.405,-7.157,1,0.0319,0.903,0.133,0.321,137.743,4.0,9.0,3.3978166666666665
1251,Rasmus Jenzen,The Well,46.0,0.619,0.3,-8.95,1,0.0982,0.942,0.141,0.443,106.717,4.0,7.0,1.75025
1252,Moon Fever,Cocaine,45.0,0.48,0.879,-4.67,0,0.0933,8.87e-05,0.0828,0.289,141.063,4.0,8.0,2.39
1253,Deathbeds AU,A Night in Hell,32.0,0.396,0.968,-4.322,1,0.131,5.49e-05,0.263,0.178,161.021,4.0,8.0,3.5357166666666666
1254,The Stranglers,No More Heroes - 1996 Remaster,52.0,0.293,0.933,-8.082,1,0.0701,0.000109,0.336,0.837,150.994,4.0,10.0,3.457333333333333
1255,Muddy Waters,I'm Your Hoochie Coochie Man,3.0,0.469,0.297,-12.576,1,0.0733,0.908,0.0604,0.802,71.683,4.0,2.0,2.8728833333333332
1256,Noel Gallagher's High Flying Birds,AKA... What A Life!,40.0,0.447,0.927,-3.3,0,0.0508,0.000297,0.0972,0.104,119.034,4.0,6.0,4.408
1257,The Heavy,Short Change Hero,60.0,0.68,0.64,-6.691,0,0.0336,0.29,0.124,0.738,105.981,4.0,9.0,5.3711166666666665
1258,Nekromantheon,Thanatos,16.0,0.0646,0.995,-7.07,0,0.143,7.39e-05,0.295,0.0351,204.316,4.0,8.0,3.5757333333333334
1259,Richard Thompson,1952 Vincent Black Lightning,56.0,0.488,0.209,-19.549,1,0.0369,0.374,0.103,0.362,120.63,4.0,0.0,4.72488333
1260,YBN Almighty Jay,Bring Out The Hoochies,51.0,0.768,0.733,-7.057,0,0.068,0.0823,0.113,0.64,116.98,4.0,5.0,2.5162666666666667
1261,La La Lars,Pour Qui Pourquoi,34.0,0.29,0.58,-8.18,0,0.0346,0.692,0.368,0.505,89.848,4.0,7.0,4.814666667
1262,Scotty McCreery,This Is It,1.0,0.557,0.511,-6.788,1,0.0291,0.254,0.099,0.602,156.042,4.0,4.0,3.84955
1263,Fickle Friends,IRL,46.0,0.666,0.815,-5.692,1,0.0622,0.0702,0.762,0.788,101.972,4.0,9.0,3.4010833333333332
1264,Saves The Day,Shoulder to the Wheel,45.0,0.35,0.958,-4.597,1,0.0949,0.000436,0.314,0.555,190.501,4.0,10.0,3.326216666666667
1265,Gaffa Tape Sandy,Kill the Chord,34.0,0.358,0.912,-4.651,1,0.05,3.36e-06,0.122,0.578,156.873,4.0,10.0,3.4233333333333333
1266,TV On The Radio,Golden Age,30.0,0.71,0.807,-5.83,0,0.0622,0.0147,0.0949,0.565,110.051,4.0,6.0,4.198216666666666
1267,The Cars,Magic,49.0,0.683,0.806,-7.574,1,0.042,0.125,0.191,0.962,118.032,4.0,10.0,3.95155
1268,Osi And The Jupiter,Baldur,46.0,0.104,0.352,-15.31,0,0.0422,0.194,0.0904,0.0373,90.265,3.0,8.0,6.58895
1269,The Surfaris,Wipe Out,45.0,0.461,0.955,-6.684,1,0.0489,0.111,0.952,0.725,160.073,4.0,10.0,2.7682
1270,Johnny Duncan,Thinkin' of a Rendezvous - Single Version,45.0,0.674,0.552,-9.904,1,0.04,0.23,0.274,0.787,127.313,4.0,4.0,3.379783333
1271,Dimmu Borgir,The Serpentine Offering,45.0,0.135,0.964,-3.492,0,0.113,3.18e-05,0.0731,0.0799,154.486,3.0,8.0,5.15355
1272,Climax Blues Band,"Hey Baby, Everything's Gonna Be Alright, Yeh Yeh Yeh",31.0,0.462,0.877,-9.245,0,0.0459,0.147,0.362,0.852,133.131,4.0,2.0,4.435333333333333
1273,Beastie Boys,Fight For Your Right,70.0,0.503,0.858,-6.296,1,0.0657,0.00757,0.0803,0.419,133.615,5.0,10.0,3.47755
1274,Elmore James,The Sky Is Crying,53.0,0.294,0.611,-6.268,1,0.0348,0.0226,0.114,0.567,178.191,3.0,2.0,2.7733333333333334
1275,Brent Faiyaz,"Gravity (feat. Tyler, The Creator)",79.0,0.539,0.615,-8.746,0,0.252,0.173,0.144,0.493,163.924,4.0,5.0,3.5782166666666666
1276,Phani Narayana,Cheri Yasodaku,15.0,0.607,0.281,-15.041,1,0.0475,0.956,0.116,0.414,151.986,4.0,6.0,5.3498833333333335
1277,Loverboy,Working for the Weekend,68.0,0.515,0.766,-12.768,1,0.0343,0.0249,0.455,0.774,146.911,4.0,10.0,3.683333333333333
1278,Sonny Landreth,Soul Salvation - Live,27.0,0.561,0.836,-8.904,1,0.0913,0.184,0.859,0.495,132.041,3.0,2.0,4.536
1279,Nirvana,Polly,62.0,0.83,0.382,-11.231,0,0.0566,0.884,0.11,0.54,121.12,4.0,10.0,2.89755
1280,Atmosphere,God's Bathroom Floor,53.0,0.596,0.712,-5.305,1,0.313,0.146,0.103,0.2,81.846,4.0,5.0,3.98
1281,Fishbone,Bonin' In the Boneyard,40.0,0.663,0.96,-4.927,1,0.108,0.0344,0.371,0.408,130.404,4.0,10.0,4.743783333333333
1282,Tion Wayne,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",90.0,0.883,0.674,-8.043,0,0.357,0.21,0.0678,0.73,141.02,4.0,5.0,4.63475
1283,Thyla,Blue,23.0,0.566,0.686,-8.101,1,0.0403,9.78e-05,0.372,0.738,120.952,4.0,10.0,3.0037333333333334
1284,Hobosexual,Trans Am Sunday,24.0,0.326,0.904,-2.683,0,0.129,0.195,0.675,0.244,128.696,4.0,10.0,5.89305
1285,Keane,Somewhere Only We Know,77.0,0.448,0.665,-4.203,1,0.026,0.06,0.0828,0.304,172.004,4.0,10.0,3.95245
1286,Marina Maximilian,Tango,36.0,0.572,0.695,-7.929,0,0.028,0.00298,0.171,0.252,140.005,4.0,9.0,4.166966666666666
1287,Aviana,Heavy Feather - Instrumental,27.0,0.22,0.964,-3.927,1,0.166,4.93e-06,0.394,0.134,199.996,4.0,8.0,4.522216666666667
1288,Bryan Adams,I Thought I'd Seen Everything,32.0,0.537,0.818,-7.206,1,0.0294,0.00398,0.0979,0.386,130.365,4.0,10.0,5.109116666666667
1289,THE DRIVER ERA,Feel You Now,50.0,0.535,0.724,-5.192,1,0.191,0.102,0.207,0.501,180.077,4.0,10.0,4.30795
1290,"Peter, Paul and Mary","Puff, the Magic Dragon",57.0,0.507,0.088,-23.309,1,0.0343,0.51,0.0984,0.398,144.226,4.0,10.0,3.447783333333333
1291,Runtown,Kini Issue,44.0,0.802,0.672,-4.349,1,0.0932,0.108,0.0724,0.767,101.029,4.0,9.0,3.2492
1292,Billy Strings,Away From The Mire,53.0,0.379,0.593,-9.113,0,0.0295,0.584,0.122,0.511,143.207,4.0,1.0,7.72755
1293,Wolf Alice,Giant Peach,49.0,0.503,0.812,-7.829,0,0.0754,4.75e-05,0.691,0.136,140.902,4.0,10.0,4.59155
1294,BlabberMouf,Put in Work,40.0,0.908,0.609,-9.669,0,0.278,0.0611,0.132,0.625,94.99,4.0,5.0,3.53685
1295,The Rolling Stones,All The Rage,41.0,0.544,0.876,-4.33,1,0.0362,0.0176,0.063,0.907,133.026,4.0,10.0,4.186216666666667
1296,Aviana,Oblivion,47.0,0.26,0.981,-4.521,1,0.169,2.05e-05,0.344,0.194,116.259,3.0,8.0,4.1371
1297,The Replacements,Bastards of Young - 2008 Remaster,51.0,0.438,0.916,-8.318,1,0.124,0.00573,0.334,0.391,143.101,4.0,10.0,3.63445
1298,The Offspring,Original Prankster,63.0,0.664,0.877,-4.251,1,0.0334,0.000542,0.284,0.961,146.804,4.0,10.0,3.68245
1299,Avenged Sevenfold,Bat Country,69.0,0.541,0.968,-4.129,1,0.0396,0.000248,0.423,0.505,125.04,4.0,10.0,5.196883333333333
1300,The Verve,The Drugs Don't Work,64.0,0.442,0.52,-8.648,1,0.0261,0.184,0.154,0.177,77.437,4.0,10.0,5.081333333333333
1301,Hoobastank,Crawling In The Dark,66.0,0.57,0.915,-4.802,0,0.105,0.000273,0.178,0.676,93.54,4.0,8.0,2.92045
1302,Death From Above 1979,Freeze Me,60.0,0.511,0.724,-5.927,1,0.0311,0.000826,0.23,0.536,130.029,4.0,1.0,3.30135
1303,Opeth,Harvest,44.0,0.501,0.686,-6.457,0,0.0246,0.0405,0.0846,0.218,62.509,4.0,8.0,6.02445
1304,Chattanooga Trio,Jazzanooga,52.0,0.588,0.0493,-20.4,1,0.0355,0.882,0.136,0.202,99.929,4.0,7.0,2.792833333
1305,The dB's,Black And White,35.0,0.299,0.971,-6.816,0,0.069,0.000656,0.0364,0.734,174.192,4.0,10.0,3.15155
1306,Kendra Collins Band,Pure Imagination,51.0,0.483,0.292,-16.653,1,0.0305,0.865,0.115,0.175,139.348,5.0,7.0,5.2579
1307,Nectar,Birthday,24.0,0.467,0.896,-3.31,1,0.0441,7.97e-05,0.3,0.145,109.953,4.0,10.0,4.035266666666667
1308,SAULT,Why Why Why Why Why,59.0,0.805,0.61,-6.64,0,0.0357,0.338,0.112,0.686,114.762,4.0,6.0,3.9779833333333334
1309,Mouth Culture,ihatesadsongs,34.0,0.651,0.71,-4.345,1,0.0302,0.0406,0.309,0.521,117.079,4.0,10.0,2.65
1310,The Telescopes,The Perfect Needle,31.0,0.278,0.568,-9.636,1,0.033,1.04e-05,0.331,0.216,95.514,4.0,10.0,3.4673333333333334
1311,Alice In Chains,Check My Brain,59.0,0.441,0.845,-3.315,1,0.0462,3.28e-06,0.723,0.304,113.989,4.0,8.0,3.965116666666667
1312,The All-American Rejects,"Swing, Swing",68.0,0.553,0.717,-5.857,1,0.0318,6.48e-05,0.0385,0.318,127.947,4.0,10.0,3.887783333333333
1313,Pillow Queens,Liffey,45.0,0.319,0.771,-5.824,1,0.0456,0.000142,0.0996,0.187,97.959,4.0,6.0,4.3203
1314,TOOL,Stinkfist,66.0,0.286,0.728,-6.608,1,0.0616,0.000174,0.133,0.467,171.441,4.0,8.0,5.202
1315,Backstreet Boys,Everything But Mine,31.0,0.58,0.911,-3.849,0,0.0321,0.00589,0.327,0.597,129.908,4.0,9.0,4.11445
1316,Inner Wave,Mushroom,51.0,0.703,0.781,-5.536,1,0.0262,0.262,0.155,0.845,100.909,4.0,6.0,2.7704833333333334
1317,Heaven Shall Burn,Thoughts and Prayers,38.0,0.17,0.986,-3.951,1,0.0953,7.89e-06,0.338,0.161,162.782,4.0,8.0,4.973816666666667
1318,Willie Dixon,The Little Red Rooster,35.0,0.477,0.29,-18.066,1,0.0374,0.554,0.283,0.727,122.589,3.0,2.0,3.5867166666666668
1319,Kings of Leon,The Bucket,58.0,0.494,0.637,-6.004,1,0.0336,0.0789,0.215,0.175,140.034,4.0,10.0,2.9257833333333334
1320,The Hives,Walk Idiot Walk,58.0,0.623,0.947,-3.934,1,0.103,0.00386,0.582,0.684,146.318,4.0,10.0,3.5302166666666666
1321,Arca,Watch,45.0,0.669,0.732,-8.724,0,0.244,0.00308,0.0492,0.727,150.043,4.0,6.0,2.4762833333333334
1322,Amitabh Bachchan,Rang Barse Bheege Chunarwali,37.0,0.656,0.5,-12.391,1,0.295,0.849,0.1,0.598,120.608,4.0,3.0,6.10445
1323,Christina Perri,A Thousand Years,68.0,0.423,0.407,-7.45,1,0.0267,0.312,0.11,0.161,139.048,3.0,9.0,4.752
1324,Strapping Young Lad,Love?,51.0,0.412,0.964,-7.557,0,0.169,1.84e-06,0.502,0.232,142.536,3.0,8.0,4.889116666666666
1325,Julia Michaels,Love Is Weird,70.0,0.536,0.404,-9.315,0,0.0367,0.619,0.127,0.325,112.807,4.0,9.0,2.5065666666666666
1326,The Gathering,Strange Machines,43.0,0.228,0.85,-6.23,1,0.0489,0.00223,0.056,0.391,130.566,4.0,8.0,6.078216666666667
1327,Trushinitas,By the River,37.0,0.695,0.292,-18.11,1,0.0614,0.978,0.0917,0.458,85.206,4.0,6.0,2.4378333333333333
1328,Grimes,Violence - REZZ Remix,59.0,0.596,0.661,-7.533,0,0.0382,0.0713,0.209,0.124,99.951,4.0,10.0,3.255
1329,Hundredth,Youth,43.0,0.442,0.978,-4.568,0,0.0846,2.93e-05,0.0763,0.356,89.986,4.0,1.0,3.508
1330,Sarah de Warren,Flow (Acoustic Version),41.0,0.748,0.41,-8.312,0,0.0307,0.688,0.114,0.86,100.016,4.0,9.0,3.183333333333333
1331,Michael Soriano Trio,Send In the Clowns,47.0,0.408,0.239,-14.704,1,0.0341,0.941,0.104,0.172,151.622,3.0,7.0,3.449383333
1332,Just Geo,iBunk,8.0,0.74,0.733,-7.142,1,0.0427,0.00349,0.106,0.643,140.012,4.0,5.0,3.0363166666666666
1333,COUNTERFEIT.,Getting Over It,29.0,0.406,0.986,-3.662,0,0.14,0.000288,0.261,0.423,168.068,4.0,10.0,2.628233333333333
1334,Spin Doctors,Two Princes,71.0,0.543,0.912,-10.71,1,0.0601,0.00162,0.0565,0.836,103.731,4.0,9.0,4.278883333333333
1335,Harlott,As We Breach,24.0,0.34,0.951,-5.376,1,0.114,5.99e-05,0.298,0.122,100.093,4.0,8.0,4.869116666666667
1336,Biig Piig,Feels Right,65.0,0.811,0.452,-8.676,1,0.115,0.162,0.12,0.556,121.058,4.0,6.0,3.3167666666666666
1337,Asha Bhosle,Jeene Ke Bahane Lakhon Hain,27.0,0.636,0.692,-11.06,0,0.0351,0.31,0.0979,0.9,123.611,4.0,3.0,6.019783333
1338,Buffalo Fuzz,My Cosmic Love,23.0,0.411,0.679,-6.48,1,0.0341,0.00814,0.13,0.229,79.081,3.0,8.0,4.761283333333333
1339,Slow Pulp,Steel Birds,39.0,0.581,0.432,-7.305,1,0.0262,0.461,0.0972,0.253,140.062,4.0,10.0,3.3916666666666666
1340,Nothing But Thieves,Sorry - Acoustic,52.0,0.672,0.429,-7.364,0,0.0298,0.818,0.205,0.481,127.912,4.0,10.0,3.57355
1341,Coldplay,Magic,73.0,0.738,0.482,-8.917,0,0.0402,0.0266,0.106,0.352,93.457,4.0,10.0,4.750233333333333
1343,DIAMANTE,Serves You Right,43.0,0.517,0.795,-6.34,0,0.0399,0.0031,0.126,0.358,141.008,4.0,8.0,3.572016666666667
1344,Lata Mangeshkar,Aji Rooth Kar Ab Kahan Jaiyega,12.0,0.428,0.413,-6.638,1,0.0319,0.985,0.174,0.654,125.296,3.0,3.0,5.0696
1345,Cut out Club,We Are the Ghosts,9.0,0.388,0.848,-6.939,0,0.0503,0.00381,0.102,0.536,166.216,4.0,6.0,3.2082166666666665
1346,Emily Wolfe,Atta Blues,38.0,0.44,0.533,-5.318,1,0.0292,0.00279,0.191,0.461,144.039,4.0,10.0,3.46955
1347,Johnny Cosmic,Kingdom (with The Movement),47.0,0.742,0.503,-8.396,0,0.0621,0.0604,0.12,0.444,74.004,4.0,10.0,4.705383333333334
1348,Bon Jovi,Bad Medicine,69.0,0.555,0.973,-3.804,1,0.035,0.048,0.0853,0.805,118.642,4.0,10.0,5.27845
1349,VVV [Trippin'you],Invierno Nuclear,37.0,0.532,0.836,-7.683,0,0.0359,0.0179,0.0873,0.184,139.997,3.0,6.0,4.566666666666666
1350,The Record Company,I Wanna Get High,42.0,0.494,0.548,-6.753,0,0.0355,0.0213,0.183,0.129,78.028,4.0,10.0,3.8846166666666666
1351,To Kill Achilles,fourpercent,36.0,0.309,0.931,-9.859,1,0.167,2.16e-05,0.414,0.131,197.044,4.0,8.0,2.9000666666666666
1352,Billy Branch,Nobody But You,24.0,0.567,0.765,-6.625,1,0.0517,0.282,0.22,0.768,147.923,4.0,2.0,3.1197833333333334
1354,The Offspring,Self Esteem,75.0,0.488,0.862,-7.595,1,0.0476,0.0204,0.359,0.706,104.56,4.0,10.0,4.297116666666667
1355,Patti Smith,People Have the Power,51.0,0.622,0.737,-9.296,1,0.0289,0.0349,0.318,0.742,130.255,4.0,1.0,5.173333333333333
1356,Jordana,I Guess This is Life,41.0,0.639,0.544,-7.355,1,0.0318,0.261,0.114,0.324,92.018,4.0,1.0,3.5271666666666666
1357,"Hank Williams, Jr.",All My Rowdy Friends Are Coming Over Tonight,49.0,0.607,0.904,-7.693,1,0.0435,0.13,0.134,0.877,146.831,4.0,4.0,2.980666667
1358,Hanni El Khatib,You Rascal You,41.0,0.604,0.665,-7.981,1,0.305,0.516,0.0766,0.48,84.691,4.0,9.0,2.35155
1359,Bryan Adams,Heaven,76.0,0.382,0.589,-7.315,0,0.0267,0.0465,0.122,0.335,140.059,4.0,10.0,4.056
1360,Prithviraj Kapoor,Agar Aisa Na Hua Toh Salim Tujhe Marne Nahin Dega - Dialogues,1.0,0.597,0.31,-12.812,1,0.0847,0.979,0.438,0.963,125.608,4.0,3.0,0.533916667
1361,Jamiroquai,Virtual Insanity - Remastered,70.0,0.662,0.949,-4.758,1,0.108,0.128,0.135,0.516,91.954,4.0,10.0,3.8226666666666667
1362,Nadia Reid,All of My Love,33.0,0.515,0.239,-13.68,1,0.0296,0.714,0.112,0.27,115.72,4.0,1.0,4.11735
1363,Heretical Sect,The Depths of Weeping Infinity,18.0,0.0814,0.902,-4.89,1,0.0841,2.28e-06,0.2,0.0898,83.631,4.0,8.0,4.62305
1364,Kate Bush,Wuthering Heights,69.0,0.481,0.392,-11.381,1,0.0312,0.366,0.124,0.52,124.572,4.0,6.0,4.48445
1365,Jesse Cook,Canción Triste,49.0,0.655,0.165,-16.415,0,0.034,0.954,0.0941,0.494,138.02,4.0,7.0,5.03045
1366,False Advertising,You Won't Feel Love,6.0,0.495,0.783,-8.835,1,0.0361,3.65e-05,0.574,0.567,144.072,4.0,10.0,3.77645
